Reference Number,description,Assigned to,Assignment Group,Affected Service/CI,Affected Service/CI Category,Affected Service/CI Subcategory,Closed Date,Created,Created by,Task Summary,Closed by,Closure Code,Closure Code 2
INC0022245869,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DSJNTXCLSPR0801 - Dynamic scheduling failure. Detected total 11 anomalies: 1) Detected CPU contention on host: DSJNTXAHVPR0813 2) Detected CPU contention on host: DSJNTXAHVPR0811 3) Detected CPU contention on host: DSJNTXAHVPR0806 4) Detected CPU contention on host: DSJNTXA - Event ID:0242ac11-000e-b27b-11ec-e3864715b388,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dsjntxclspr0801.sg.db.com,,,,03 June 2022,zip_interface,,,Hardware,Not Listed
INC0022245868,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DSJNTXCLSPR0601 - Dynamic scheduling failure. Detected total 20 anomalies: 1) Detected CPU contention on host: DSJNTXAHVPR0602 2) Detected CPU contention on host: DSJNTXAHVPR0601 3) Detected CPU contention on host: DSJNTXAHVPR0622 4) Detected CPU contention on host: DSJNTXA - Event ID:0242ac11-000e-b27b-11ec-e386993b0f3d,Bheem Panwar,DBSP-INT-NGCS-TIER2-NUTANIX,dsjntxclspr0601.sg.db.com,,,,03 June 2022,zip_interface,,,,
INC0022245766,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DSJNTXCLSPR0401 - Dynamic scheduling failure. Detected total 23 anomalies: 1) Detected CPU contention on host: DSJNTXAHVPR0419 2) Detected CPU contention on host: DSJNTXAHVPR0418 3) Detected CPU contention on host: DSJNTXAHVPR0417 4) Detected CPU contention on host: DSJNTXA - Event ID:0242ac11-000e-b27b-11ec-e37f0f938336,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dsjntxclspr0401.sg.db.com,,,,03 June 2022,zip_interface,,,Hardware,Not Listed
INC0022246017,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DSJNTXCLSPR0401 - Dynamic scheduling failure. Detected total 21 anomalies: 1) Detected CPU contention on host: DSJNTXAHVPR0419 2) Detected CPU contention on host: DSJNTXAHVPR0418 3) Detected CPU contention on host: DSJNTXAHVPR0417 4) Detected CPU contention on host: DSJNTXA - Event ID:0242ac11-000e-b27b-11ec-e38e9d74c7c1,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dsjntxclspr0401.sg.db.com,,,,03 June 2022,zip_interface,,,Hardware,Not Listed
INC0022245867,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DSJNTXCLSPR0401 - Dynamic scheduling failure. Detected total 21 anomalies: 1) Detected CPU contention on host: DSJNTXAHVPR0419 2) Detected CPU contention on host: DSJNTXAHVPR0418 3) Detected CPU contention on host: DSJNTXAHVPR0417 4) Detected CPU contention on host: DSJNTXA - Event ID:0242ac11-000e-b27b-11ec-e3869c33b5ce,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dsjntxclspr0401.sg.db.com,,,,03 June 2022,zip_interface,,,Hardware,Not Listed
INC0022244063,Nutanix/Alert / CPU Average Load Critically High on Controller VM {ip_address} / SystemIndicator ControllerVM / DSJNTXAHVPR0403 - Average CPU load on Controller VM 172.18.132.56 is critically high (above critical average load threshold value 100) - Event ID:0242ac11-000e-b27b-11ec-e33d7af0bc14,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dsjntxahvpr0403.sg.db.com,,,,03 June 2022,zip_interface,,,Hardware,Not Listed
INC0022242750,Nutanix/Alert / CPU Average Load Critically High on Controller VM {ip_address} / SystemIndicator ControllerVM / DSJNTXAHVPR0403 - Average CPU load on Controller VM 172.18.132.56 is critically high (above critical average load threshold value 100) - Event ID:0242ac11-000e-b27b-11ec-e32409a9231a,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dsjntxahvpr0403.sg.db.com,,,,03 June 2022,zip_interface,,,Hardware,Not Listed
INC0022246630,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / WDCNTXCLSPR0701 - Dynamic scheduling failure. Detected total 17 anomalies: 1) Detected CPU contention on host: WDCNTXAHVPR0714 2) Detected CPU contention on host: WDCNTXAHVPR0713 3) Detected CPU contention on host: WDCNTXAHVPR0712 4) Detected CPU contention on host: WDCNTXA - Event ID:0242ac11-0007-af61-11ec-e3c070429360,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,wdcntxclspr0701.uk.db.com,,,,04 June 2022,zip_interface,,,Hardware,Not Listed
INC0022247588,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / NJ3NTXCLSPR0701 - Dynamic scheduling failure. Detected total 19 anomalies: 1) Detected CPU contention on host: NJ3NTXAHVPR0701 2) Detected CPU contention on host: NJ3NTXAHVPR0702 3) Detected CPU contention on host: NJ3NTXAHVPR0703 4) Detected CPU contention on host: NJ3NTXA - Event ID:0242ac11-0015-bb1f-11ec-e3e2babcc50a,Tanaji Dongare,DBSP-INT-NGCS-TIER2-NUTANIX,nj3ntxclspr0701.us.db.com,,,,04 June 2022,zip_interface,,,,
INC0022247589,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / NJ3NTXCLSPR0501 - Dynamic scheduling failure. Detected total 22 anomalies: 1) Detected CPU contention on host: NJ3NTXAHVPR0522 2) Detected CPU contention on host: NJ3NTXAHVPR0521 3) Detected CPU contention on host: NJ3NTXAHVPR0520 4) Detected CPU contention on host: NJ3NTXA - Event ID:0242ac11-0015-bb1f-11ec-e3e2ff437e51,Tanaji Dongare,DBSP-INT-NGCS-TIER2-NUTANIX,nj3ntxclspr0501.us.db.com,,,,04 June 2022,zip_interface,,,,
INC0022247823,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / NJ3NTXCLSPR0301 - Dynamic scheduling failure. Detected total 24 anomalies: 1) Detected CPU contention on host: NJ3NTXAHVPR0307 2) Detected CPU contention on host: NJ3NTXAHVPR0306 3) Detected CPU contention on host: NJ3NTXAHVPR0305 4) Detected CPU contention on host: NJ3NTXA - Event ID:0242ac11-0015-bb1f-11ec-e3ef05b7e7ef,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,nj3ntxclspr0301.us.db.com,,,,04 June 2022,zip_interface,,,Hardware,Not Listed
INC0022247551,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / NJ3NTXCLSPR0301 - Dynamic scheduling failure. Detected total 20 anomalies: 1) Detected CPU contention on host: NJ3NTXAHVPR0307 2) Detected CPU contention on host: NJ3NTXAHVPR0306 3) Detected CPU contention on host: NJ3NTXAHVPR0305 4) Detected CPU contention on host: NJ3NTXA - Event ID:0242ac11-0015-bb1f-11ec-e3e05b9fa011,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,nj3ntxclspr0301.us.db.com,,,,04 June 2022,zip_interface,,,Hardware,Not Listed
INC0022246233,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / KCHNTXCLSPR0701 - Dynamic scheduling failure. Detected total 10 anomalies: 1) Detected CPU contention on host: KCHNTXAHVPR0713 2) Detected CPU contention on host: KCHNTXAHVPR0716 3) Detected CPU contention on host: KCHNTXAHVPR0712 4) Detected CPU contention on host: KCHNTXA - Event ID:0242ac11-000e-b27b-11ec-e39fbd405db8,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,kchntxclspr0701.sg.db.com,,,,04 June 2022,zip_interface,,,Hardware,Not Listed
INC0022246073,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / KCHNTXCLSPR0501 - Dynamic scheduling failure. Detected total 12 anomalies: 1) Detected CPU contention on host: KCHNTXAHVPR0507 2) Detected CPU contention on host: KCHNTXAHVPR0519 3) Detected CPU contention on host: KCHNTXAHVPR0517 4) Detected CPU contention on host: KCHNTXA - Event ID:0242ac11-000e-b27b-11ec-e39271b2db73,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,kchntxclspr0501.sg.db.com,,,,04 June 2022,zip_interface,,,Hardware,Not Listed
INC0022246132,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / KCHNTXCLSPR0301 - Dynamic scheduling failure. Detected total 21 anomalies: 1) Detected CPU contention on host: KCHNTXAHVPR0303 2) Detected CPU contention on host: KCHNTXAHVPR0302 3) Detected CPU contention on host: KCHNTXAHVPR0316 4) Detected CPU contention on host: KCHNTXA - Event ID:0242ac11-000e-b27b-11ec-e39715a5ffc0,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,kchntxclspr0301.sg.db.com,,,,04 June 2022,zip_interface,,,Hardware,Not Listed
INC0022246234,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / KCHNTXCLSPR0301 - Dynamic scheduling failure. Detected total 20 anomalies: 1) Detected CPU contention on host: KCHNTXAHVPR0303 2) Detected CPU contention on host: KCHNTXAHVPR0302 3) Detected CPU contention on host: KCHNTXAHVPR0316 4) Detected CPU contention on host: KCHNTXA - Event ID:0242ac11-000e-b27b-11ec-e39fcf7d4020,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,kchntxclspr0301.sg.db.com,,,,04 June 2022,zip_interface,,,Hardware,Not Listed
INC0022246099,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DSJNTXCLSPR0801 - Dynamic scheduling failure. Detected total 8 anomalies: 1) Detected CPU contention on host: DSJNTXAHVPR0813 2) Detected CPU contention on host: DSJNTXAHVPR0806 3) Detected storage controller contention on host: DSJNTXAHVPR0804 4) Detected CPU contention on - Event ID:0242ac11-000e-b27b-11ec-e394adbecc29,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dsjntxclspr0801.sg.db.com,,,,04 June 2022,zip_interface,,,Hardware,Not Listed
INC0022246568,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DCNNTXCLSPR1101 - Dynamic scheduling failure. Detected total 21 anomalies: 1) Detected CPU contention on host: DCNNTXAHVPR1124 2) Detected CPU contention on host: DCNNTXAHVPR1123 3) Detected CPU contention on host: DCNNTXAHVPR1122 4) Detected CPU contention on host: DCNNTXA - Event ID:0242ac11-0007-aa67-11ec-e3bb3f1dcdb9,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcnntxclspr1101.de.db.com,,,,04 June 2022,zip_interface,,,Hardware,Not Listed
INC0022246490,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DCNNTXCLSPR1101 - Dynamic scheduling failure. Detected total 19 anomalies: 1) Detected CPU contention on host: DCNNTXAHVPR1124 2) Detected CPU contention on host: DCNNTXAHVPR1123 3) Detected CPU contention on host: DCNNTXAHVPR1122 4) Detected CPU contention on host: DCNNTXA - Event ID:0242ac11-0007-aa67-11ec-e3b3f9696e2d,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcnntxclspr1101.de.db.com,,,,04 June 2022,zip_interface,,,Hardware,Not Listed
INC0022246412,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DCNNTXCLSPR1101 - Dynamic scheduling failure. Detected total 17 anomalies: 1) Detected CPU contention on host: DCNNTXAHVPR1124 2) Detected CPU contention on host: DCNNTXAHVPR1123 3) Detected CPU contention on host: DCNNTXAHVPR1122 4) Detected CPU contention on host: DCNNTXA - Event ID:0242ac11-0007-aa67-11ec-e3acd9d41e39,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcnntxclspr1101.de.db.com,,,,04 June 2022,zip_interface,,,Hardware,Not Listed
INC0022246689,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DCNNTXCLSPR1101 - Dynamic scheduling failure. Detected total 14 anomalies: 1) Detected CPU contention on host: DCNNTXAHVPR1124 2) Detected CPU contention on host: DCNNTXAHVPR1123 3) Detected CPU contention on host: DCNNTXAHVPR1122 4) Detected CPU contention on host: DCNNTXA - Event ID:0242ac11-0007-aa67-11ec-e3c23c59ef3f,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcnntxclspr1101.de.db.com,,,,04 June 2022,zip_interface,,,Hardware,Not Listed
INC0022246591,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DCNNTXCLSPR0901 - Dynamic scheduling failure. Detected total 20 anomalies: 1) Detected CPU contention on host: DCNNTXAHVPR0915 2) Detected CPU contention on host: DCNNTXAHVPR0913 3) Detected CPU contention on host: DCNNTXAHVPR0912 4) Detected CPU contention on host: DCNNTXA - Event ID:0242ac11-0007-aa67-11ec-e3bd9c3cd8ad,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcnntxclspr0901.de.db.com,,,,04 June 2022,zip_interface,,,Hardware,Not Listed
INC0022246542,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DCNNTXCLSPR0901 - Dynamic scheduling failure. Detected total 18 anomalies: 1) Detected CPU contention on host: DCNNTXAHVPR0913 2) Detected CPU contention on host: DCNNTXAHVPR0912 3) Detected CPU contention on host: DCNNTXAHVPR0924 4) Detected CPU contention on host: DCNNTXA - Event ID:0242ac11-0007-aa67-11ec-e3b6adc9a8a5,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcnntxclspr0901.de.db.com,,,,04 June 2022,zip_interface,,,Hardware,Not Listed
INC0022246432,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DCNNTXCLSPR0901 - Dynamic scheduling failure. Detected total 17 anomalies: 1) Detected CPU contention on host: DCNNTXAHVPR0913 2) Detected CPU contention on host: DCNNTXAHVPR0912 3) Detected CPU contention on host: DCNNTXAHVPR0924 4) Detected CPU contention on host: DCNNTXA - Event ID:0242ac11-0007-aa67-11ec-e3aeb6e972d2,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcnntxclspr0901.de.db.com,,,,04 June 2022,zip_interface,,,Hardware,Not Listed
INC0022246477,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DCNNTXCLSPR0701 - Dynamic scheduling failure. Detected total 16 anomalies: 1) Detected CPU contention on host: DCNNTXAHVPR0721 2) Detected CPU contention on host: DCNNTXAHVPR0720 3) Detected CPU contention on host: DCNNTXAHVPR0719 4) Detected CPU contention on host: DCNNTXA - Event ID:0242ac11-0007-aa67-11ec-e3b325496240,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcnntxclspr0701.de.db.com,,,,04 June 2022,zip_interface,,,Hardware,Not Listed
INC0022246541,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DCNNTXCLSPR0501 - Dynamic scheduling failure. Detected total 18 anomalies: 1) Detected CPU contention on host: DCNNTXAHVPR0521 2) Detected CPU contention on host: DCNNTXAHVPR0524 3) Detected CPU contention on host: DCNNTXAHVPR0523 4) Detected CPU contention on host: DCNNTXA - Event ID:0242ac11-0007-aa67-11ec-e3b7086e9d3f,Ratheesh Sivasubramaniam,DBSP-INT-NGCS-TIER2-NUTANIX,dcnntxclspr0501.de.db.com,,,,04 June 2022,zip_interface,,,,
INC0022246592,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DCNNTXCLSPR0301 - Dynamic scheduling failure. Detected total 14 anomalies: 1) Detected CPU contention on host: DCNNTXAHVPR0301 2) Detected CPU contention on host: DCNNTXAHVPR0318 3) Detected CPU contention on host: DCNNTXAHVPR0310 4) Detected CPU contention on host: DCNNTXA - Event ID:0242ac11-0007-aa67-11ec-e3bd0499e024,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcnntxclspr0301.de.db.com,,,,04 June 2022,zip_interface,,,Hardware,Not Listed
INC0022246420,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DCBNTXCLSPR1801 - Dynamic scheduling failure. Detected total 13 anomalies: 1) Detected CPU contention on host: DCBNTXAHVPR1805 2) Detected CPU contention on host: DCBNTXAHVPR1810 3) Detected CPU contention on host: DCBNTXAHVPR1816 4) Detected CPU contention on host: DCBNTXA - Event ID:0242ac11-0007-aa67-11ec-e3ae56127f65,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcbntxclspr1801.de.db.com,,,,04 June 2022,zip_interface,,,Hardware,Not Listed
INC0022246593,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DCBNTXCLSPR1201 - Dynamic scheduling failure. Detected total 18 anomalies: 1) Detected CPU contention on host: DCBNTXAHVPR1224 2) Detected CPU contention on host: DCBNTXAHVPR1223 3) Detected CPU contention on host: DCBNTXAHVPR1222 4) Detected CPU contention on host: DCBNTXA - Event ID:0242ac11-0007-aa67-11ec-e3bd99bdf5fb,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcbntxclspr1201.de.db.com,,,,04 June 2022,zip_interface,,,Hardware,Not Listed
INC0022246517,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DCBNTXCLSPR1201 - Dynamic scheduling failure. Detected total 16 anomalies: 1) Detected CPU contention on host: DCBNTXAHVPR1224 2) Detected CPU contention on host: DCBNTXAHVPR1223 3) Detected CPU contention on host: DCBNTXAHVPR1220 4) Detected CPU contention on host: DCBNTXA - Event ID:0242ac11-0007-aa67-11ec-e3b64afcd847,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcbntxclspr1201.de.db.com,,,,04 June 2022,zip_interface,,,Hardware,Not Listed
INC0022246572,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DCBNTXCLSPR1001 - Dynamic scheduling failure. Detected total 14 anomalies: 1) Detected CPU contention on host: DCBNTXAHVPR1014 2) Detected CPU contention on host: DCBNTXAHVPR1013 3) Detected CPU contention on host: DCBNTXAHVPR1011 4) Detected CPU contention on host: DCBNTXA - Event ID:0242ac11-0007-aa67-11ec-e3bb2d5cd1dc,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcbntxclspr1001.de.db.com,,,,04 June 2022,zip_interface,,,Hardware,Not Listed
INC0022246560,Nutanix/Alert / Dynamic scheduling failure. / Performance Cluster / DCBNTXCLSPR0801 - Dynamic scheduling failure. Detected total 17 anomalies: 1) Detected CPU contention on host: DCBNTXAHVPR0823 2) Detected CPU contention on host: DCBNTXAHVPR0821 3) Detected CPU contention on host: DCBNTXAHVPR0807 4) Detected CPU contention on host: DCBNTXA - Event ID:0242ac11-0007-aa67-11ec-e3ba3ce67151,Rohit Gaur,DBSP-INT-NGCS-TIER2-NUTANIX,dcbntxclspr0801.de.db.com,,,,04 June 2022,zip_interface,,,Hardware,Not Listed
